Mun Nombre,Mun Id,coordenadas_colombia.latitud,coordenadas_colombia.longitud
FLORESTA,15276,5.9166667,'-72.9166667
FLORIAN,68271,5.8047222,'-73.9741667
FLORIDA,76275,3.3275,'-76.2386111
FLORIDABLANCA,68276,7.0647222,'-73.0897222
FOMEQUE,25279,4.5833333,'-73.8333333
FONSECA,44279,10.8333333,'-72.8333333
FORTUL,81300,6.7461111,'-71.8566667
FOSCA,25281,4.3333333,'-73.9166667
FRANCISCO PIZARRO,52520,2.1019444,'-78.7216667
FREDONIA,5282,5.9166667,'-75.6666667
FRESNO,73283,5.1666667,'-75.0833333
FRONTINO,5284,6.6666667,'-76.3333333
FUENTE DE ORO,50287,3.4594444,'-73.6127778
FUNDACION,47288,10.4166667,'-73.9166667
FUNES,52287,0.95,'-77.3333333
FUNZA,25286,4.7833333,'-74.2
FUQUENE,25288,5.4166667,'-73.8
FUSAGASUGA,25290,4.4166667,'-74.4
GACHALA,25293,4.6666667,'-73.5
GACHANCIPA,25295,5.0833333,'-73.8833333
GACHANTIVA,15293,5.75,'-73.5
GACHETA,25297,4.9166667,'-73.6666667
GALAN,68296,6.7,'-73.3
GALAPA,8296,10.9166667,'-74.8333333
GALERAS,70235,9.1630556,'-75.0525
GAMA,25299,4.75,'-73.6
GAMARRA,20295,8.3333333,'-73.6666667
GAMBITA,68298,6,'-73.25
GAMEZA,15296,5.85,'-72.75
GARAGOA,15299,5.1333333,'-73.3
GARZON,41298,2.25,'-75.5833333
GENOVA,63302,4.25,'-75.6666667
GIGANTE,41306,2.5,'-75.5
GINEBRA,76306,3.75,'-76.1666667
GIRALDO,5306,6.6666667,'-75.9166667
GIRARDOT,25307,4.3030556,'-74.8008333
GIRARDOTA,5308,6.4166667,'-75.45
GIRON,68307,,
GOMEZ PLATA,5310,6.75,'-75.8333333
GONZALEZ,20310,8.4,'-73.3333333
GRAMALOTE,54313,7.9166667,'-72.75
GRANADA,25312,5.0666667,'-74.5666667
GRANADA,50313,3.5386111,'-73.7005556
GRANADA,5313,6.1666667,'-75.1333333
GUACA,68318,7,'-72.7666667
GUACAMAYAS,15317,6.5,'-72.5
GUACARI,76318,3.7694444,'-76.3380556
GUACHENE,19300,3.1333333,'-76.3833333
